
 Node          U1          U2          U3
  128  -5.958e-07   2.137e-07   9.624e-06
  129  -6.515e-07   1.534e-08   1.081e-05
  130  -5.754e-07  -1.910e-07   9.895e-06
  131  -4.041e-07  -3.203e-07   7.235e-06
  132  -7.062e-07   5.661e-07   1.255e-05
  133  -9.212e-07   3.503e-07   1.730e-05
  134  -9.789e-07  -4.805e-09   1.910e-05
  135  -8.658e-07  -3.548e-07   1.721e-05
  136  -6.307e-07  -5.612e-07   1.244e-05
  137  -1.001e-06   8.419e-07   2.114e-05
  138  -1.149e-06   4.601e-07   2.786e-05
  139  -1.126e-06  -4.915e-08   2.994e-05
  140  -1.045e-06  -5.243e-07   2.696e-05
  141  -8.529e-07  -8.380e-07   1.992e-05
  142  -1.242e-06   1.013e-06   3.257e-05
  143  -1.103e-06   3.919e-07   3.955e-05
  144  -9.686e-07  -1.124e-07   4.075e-05
  145  -9.809e-07  -5.588e-07   3.744e-05
  146  -1.018e-06  -1.031e-06   2.946e-05
  147  -9.876e-07   8.133e-07   4.466e-05
  148  -6.696e-07   1.517e-07   4.878e-05
  149  -5.781e-07  -1.597e-07   4.861e-05
  150  -5.985e-07  -4.374e-07   4.564e-05
  151  -8.020e-07  -9.275e-07   3.927e-05
  152   9.066e-07   8.355e-07   4.545e-05
  153   5.694e-07   1.594e-07   4.976e-05
  154  -3.681e-07  -1.581e-06   9.948e-06
  155  -3.563e-07  -9.941e-07   5.924e-06
  156  -2.187e-07  -4.170e-07   1.522e-05
  157   2.455e-07   8.771e-07   5.715e-06
  158   2.321e-07   4.934e-07   3.030e-06
  159  -1.487e-07  -2.626e-07   1.848e-05
  160  -1.603e-07  -1.641e-07   2.060e-05
  161  -2.298e-07  -2.741e-08   2.163e-05
  162  -4.169e-07   3.054e-07   2.061e-05
  163  -5.876e-07   7.987e-07   1.502e-05
  164   1.096e-07   2.533e-07   1.382e-06
  165   4.426e-08   1.254e-07   6.610e-07
  166   5.519e-09   8.131e-08   4.243e-07
  167  -2.906e-08   1.034e-07   5.453e-07
  168  -6.735e-08   1.910e-07   1.020e-06
  169  -1.203e-07   3.599e-07   1.935e-06
  170  -2.313e-07   6.573e-07   3.596e-06
  171  -4.599e-07   1.151e-06   6.911e-06
  172  -4.797e-07   1.908e-06   1.210e-05
  173   2.928e-09   2.524e-06   1.494e-05
  174   4.704e-07  -1.652e-07   4.959e-05
  175   4.914e-07  -4.532e-07   4.659e-05
  176   7.053e-07  -9.599e-07   4.009e-05
  177   9.102e-07  -1.622e-06   2.713e-05
  178  -1.854e-07  -6.033e-07   3.309e-06
  179  -1.016e-07  -3.578e-07   1.943e-06
  180  -6.025e-08  -2.103e-07   1.150e-06
  181  -2.880e-08  -1.288e-07   7.100e-07
  182  -9.885e-10  -1.020e-07   5.593e-07
  183   2.635e-08  -1.260e-07   6.795e-07
  184   6.331e-08  -2.031e-07   1.101e-06
  185   1.246e-07  -3.406e-07   2.006e-06
  186   1.299e-07  -5.474e-07   3.392e-06
  187   1.075e-08  -7.181e-07   4.158e-06
  188  -2.127e-07  -3.869e-07   4.866e-06
  189  -3.315e-07  -3.770e-07   8.792e-06
  190  -4.166e-07  -2.470e-07   1.201e-05
  191  -4.929e-07  -3.153e-08   1.344e-05
  192  -5.686e-07   2.087e-07   1.251e-05
  193  -5.511e-07   3.828e-07   9.385e-06
  194   3.486e-07  -1.049e-06   6.107e-06
  195   3.375e-07  -1.621e-06   1.003e-05
  196  -1.914e-08  -2.055e-06   1.191e-05
  197  -1.102e-07  -5.821e-07   3.604e-06
  198  -1.137e-07  -3.995e-07   2.371e-06
  199   8.209e-07   9.601e-07   1.188e-05
  200   1.190e-06   8.976e-07   2.154e-05
  201   1.290e-06   5.167e-07   2.890e-05
  202   1.220e-06  -3.481e-08   3.137e-05
  203   1.139e-06  -5.608e-07   2.827e-05
  204   9.692e-07  -8.962e-07   2.074e-05
  205   6.408e-07  -9.313e-07   1.137e-05
  206  -2.262e-07   5.487e-07   3.314e-06
  207  -2.226e-07   9.116e-07   5.860e-06
  208   1.271e-08   1.193e-06   7.040e-06
  209   4.702e-07   1.929e-06   1.241e-05
  210   4.645e-07   1.188e-06   7.122e-06
  211   9.837e-07   1.429e-06   2.096e-05
  212  -2.501e-07  -5.213e-07   7.212e-06
  213  -3.899e-07   4.181e-07   5.199e-06
  214  -7.632e-08  -2.596e-07   1.430e-06
  215  -3.329e-07  -4.536e-07   1.225e-05
  216  -3.325e-07  -2.897e-07   1.593e-05
  217  -3.665e-07  -1.126e-07   1.787e-05
  218  -4.766e-07   1.219e-07   1.793e-05
  219  -5.846e-07   4.342e-07   1.516e-05
  220   2.306e-07  -6.202e-07   3.326e-06
  221   2.997e-07   6.386e-07   3.420e-06
  222   1.247e-06   1.048e-06   3.382e-05
  223   1.090e-06   4.092e-07   4.109e-05
  224   9.388e-07  -1.169e-07   4.239e-05
  225   9.498e-07  -5.886e-07   3.900e-05
  226   7.570e-07  -1.328e-06   1.839e-05
  227  -2.970e-07  -6.141e-07   9.958e-06
  228  -4.736e-07   6.380e-07   9.555e-06
  229   9.975e-07  -1.084e-06   3.075e-05
  230   1.219e-06   1.772e-06   3.218e-05
  231  -1.458e-07   2.812e-07   1.509e-06
  232  -3.216e-08  -8.445e-07   1.950e-05
  233  -3.048e-08   6.364e-07   1.210e-05
  234   4.056e-08   1.708e-06   3.432e-05
  235   5.036e-09  -1.906e-06   4.157e-05
  236   9.134e-17  -7.344e-16  -2.311e-17
  237   8.447e-17   1.398e-15   2.680e-18
  238  -1.746e-16   2.753e-15  -1.367e-17
  239  -2.007e-16  -2.011e-15  -4.047e-17
  240  -5.222e-08  -1.213e-08   2.261e-05
  241  -6.476e-08   7.895e-08   2.244e-05
  242  -6.978e-08   1.867e-07   2.108e-05
  243  -6.591e-08   2.564e-07   1.886e-05
  244  -5.257e-08   2.774e-07   1.609e-05
  245  -3.774e-07   5.708e-07   9.309e-06
  246  -2.780e-07   4.473e-07   6.071e-06
  247  -1.874e-07   3.084e-07   3.739e-06
  248  -9.300e-08   2.005e-07   2.344e-06
  249   3.802e-10   1.554e-07   1.874e-06
  250   1.006e-07   1.931e-07   2.357e-06
  251   2.123e-07   3.267e-07   3.887e-06
  252   3.511e-07   5.614e-07   6.632e-06
  253   5.450e-07   8.892e-07   1.101e-05
  254   7.748e-07   1.261e-06   1.756e-05
  255   1.066e-06   1.572e-06   2.659e-05
  256   4.879e-08   5.421e-07   4.387e-05
  257   5.297e-08   4.110e-07   4.893e-05
  258   5.157e-08   1.807e-07   5.189e-05
  259   4.751e-08  -8.678e-08   5.239e-05
  260   3.226e-08  -2.801e-07   5.019e-05
  261   1.376e-06  -1.748e-06   3.170e-05
  262   9.836e-07  -1.377e-06   2.011e-05
  263   6.679e-07  -9.409e-07   1.192e-05
  264   4.083e-07  -5.665e-07   6.678e-06
  265   2.333e-07  -3.100e-07   3.568e-06
  266   1.017e-07  -1.706e-07   1.935e-06
  267  -1.816e-08  -1.381e-07   1.531e-06
  268  -1.473e-07  -2.047e-07   2.338e-06
  269  -3.074e-07  -3.595e-07   4.567e-06
  270  -4.860e-07  -5.663e-07   8.521e-06
  271  -7.011e-07  -7.536e-07   1.436e-05
  272   1.404e-07  -6.115e-08   1.315e-07
  273   3.823e-07  -1.985e-07   1.348e-06
  274   5.489e-07  -2.838e-07   3.834e-06
  275   5.886e-07  -2.320e-07   6.567e-06
  276   5.329e-07  -4.989e-08   8.104e-06
  277   4.408e-07   1.573e-07   7.557e-06
  278   3.375e-07   2.711e-07   5.325e-06
  279   2.148e-07   2.529e-07   2.629e-06
  280   8.002e-08   1.397e-07   6.599e-07
  281   5.807e-17   2.393e-15   2.885e-17
  282   6.118e-17   4.286e-15   9.313e-17
  283   5.105e-17   6.365e-15   1.466e-16
  284  -1.035e-17   6.892e-15   9.940e-17
  285  -6.816e-17   6.035e-15   1.384e-16
  286  -6.125e-17   3.725e-15   8.335e-17
  287  -3.674e-17   1.952e-15   2.498e-17
  288  -1.416e-17   1.165e-15   1.063e-17
  289   1.275e-18   9.776e-16   1.059e-17
  290   1.617e-17   1.231e-15   1.390e-17
  291   3.347e-17   1.943e-15   2.041e-17
  292   5.944e-17   3.269e-15   3.195e-17
  293   1.132e-16   5.862e-15   8.019e-17
  294   1.851e-16   1.107e-14   2.557e-16
  295   1.723e-16   1.771e-14   4.153e-16
  296  -3.668e-17   1.994e-14   2.980e-16
  297  -2.201e-16   1.808e-14   4.316e-16
  298  -2.088e-16   1.152e-14   2.715e-16
  299  -1.410e-16   5.705e-15   7.129e-17
  300  -2.289e-07   2.688e-07   1.155e-06
  301  -6.299e-07   5.522e-07   5.230e-06
  302  -9.670e-07   6.383e-07   1.137e-05
  303  -1.180e-06   4.111e-07   1.686e-05
  304  -1.304e-06  -5.704e-08   1.873e-05
  305  -1.334e-06  -4.982e-07   1.573e-05
  306  -1.191e-06  -6.544e-07   9.648e-06
  307  -8.097e-07  -4.886e-07   3.760e-06
  308  -2.924e-07  -1.804e-07   5.712e-07
  309  -1.996e-16  -5.841e-15   6.901e-17
  310  -2.621e-16  -1.350e-14   3.416e-16
  311  -2.243e-16  -2.224e-14   5.479e-16
  312   6.901e-17  -2.490e-14   3.679e-16
  313   2.832e-16  -2.202e-14   5.476e-16
  314   2.328e-16  -1.326e-14   3.282e-16
  315   1.396e-16  -6.524e-15   9.327e-17
  316   7.068e-17  -3.288e-15   2.883e-17
  317   3.799e-17  -1.719e-15   1.346e-17
  318   1.639e-17  -9.388e-16   5.660e-18
  319  -2.875e-18  -7.442e-16   3.319e-18
  320  -2.652e-17  -1.163e-15   6.672e-18
  321  -6.850e-17  -2.597e-15   3.670e-17
  322  -1.249e-16  -5.930e-15   1.541e-16
  323  -1.202e-16  -1.032e-14   2.602e-16
  324   2.790e-18  -1.182e-14   1.831e-16
  325   1.229e-16  -1.064e-14   2.710e-16
  326   1.307e-16  -6.376e-15   1.645e-16
  327   9.718e-17  -2.613e-15   3.065e-17
  328  -5.081e-07  -2.722e-07   1.955e-05
  329  -3.525e-07   5.383e-08   2.034e-05
  330  -2.866e-07   1.671e-07   1.922e-05
  331  -2.706e-07   2.439e-07   1.715e-05
  332  -3.102e-07   3.854e-07   1.414e-05
  333  -6.190e-07  -3.696e-07   1.347e-05
  334  -5.287e-07  -8.680e-08   1.576e-05
  335  -4.359e-07   1.150e-07   1.553e-05
  336  -4.009e-07   2.569e-07   1.368e-05
  337  -3.864e-07   3.907e-07   1.041e-05
  338  -4.557e-07  -3.071e-07   8.032e-06
  339  -5.007e-07  -1.460e-07   1.040e-05
  340  -4.579e-07   4.928e-08   1.090e-05
  341  -3.952e-07   2.112e-07   9.549e-06
  342  -3.065e-07   3.050e-07   6.891e-06
  343  -2.523e-07  -2.062e-07   4.477e-06
  344  -3.147e-07  -1.267e-07   6.218e-06
  345  -3.151e-07   4.765e-09   6.868e-06
